iter	Passed	Remaining
0	178	178479
1	181	90445
2	183	61141
3	186	46338
4	188	37476
5	190	31619
6	193	27435
7	195	24262
8	198	21841
9	200	19898
10	203	18280
11	205	16917
12	207	15747
13	209	14724
14	211	13856
15	213	13129
16	215	12440
17	216	11821
18	218	11278
19	220	10789
20	222	10352
21	224	9975
22	226	9612
23	227	9260
24	229	8934
25	230	8646
26	232	8377
27	233	8121
28	235	7880
29	237	7666
30	239	7471
31	241	7292
32	243	7124
33	244	6955
34	246	6792
35	248	6646
36	249	6504
37	251	6372
38	253	6244
39	255	6135
40	257	6024
41	259	5914
42	260	5806
43	262	5706
44	264	5610
45	265	5516
46	267	5427
47	269	5353
48	271	5278
49	274	5207
50	275	5134
51	277	5066
52	279	4998
53	281	4934
54	283	4876
55	285	4815
56	287	4759
57	289	4699
58	291	4646
59	293	4591
60	294	4538
61	296	4490
62	298	4446
63	300	4401
64	302	4355
65	304	4309
66	306	4261
67	306	4203
68	308	4160
69	309	4117
70	311	4076
71	313	4042
72	315	4011
73	317	3977
74	319	3938
75	320	3902
76	322	3865
77	324	3830
78	325	3795
79	327	3762
80	329	3734
81	331	3707
82	332	3676
83	334	3647
84	335	3612
85	337	3582
86	338	3549
87	339	3521
88	341	3491
89	342	3466
90	344	3442
91	346	3416
92	347	3386
93	348	3358
94	349	3330
95	350	3301
96	351	3274
97	352	3245
98	353	3219
99	354	3192
100	355	3166
101	356	3136
102	357	3111
103	358	3088
104	359	3066
105	360	3043
106	361	3018
107	362	2995
108	363	2972
109	364	2948
110	365	2924
111	366	2902
112	366	2879
113	367	2858
114	368	2836
115	369	2813
116	370	2793
117	370	2771
118	371	2749
119	372	2729
120	373	2714
121	375	2702
122	376	2683
123	377	2666
124	378	2648
125	379	2631
126	380	2614
127	380	2595
128	381	2578
129	382	2562
130	383	2545
131	384	2528
132	385	2512
133	386	2496
134	387	2481
135	388	2471
136	390	2459
137	391	2444
138	392	2429
139	392	2414
140	393	2399
141	394	2386
142	395	2372
143	396	2359
144	397	2346
145	398	2333
146	399	2320
147	400	2308
148	402	2296
149	403	2287
150	405	2279
151	406	2267
152	407	2255
153	408	2244
154	409	2232
155	410	2221
156	411	2211
157	412	2200
158	413	2189
159	415	2179
160	416	2169
161	417	2159
162	419	2152
163	420	2143
164	422	2136
165	423	2128
166	424	2119
167	426	2111
168	427	2101
169	428	2092
170	429	2082
171	430	2073
172	431	2064
173	433	2056
174	434	2048
175	435	2039
176	436	2029
177	437	2019
178	438	2009
179	439	1999
180	439	1988
181	440	1977
182	440	1968
183	441	1958
184	442	1949
185	443	1942
186	445	1935
187	446	1927
188	447	1918
189	448	1910
190	449	1901
191	449	1892
192	450	1883
193	451	1875
194	452	1866
195	452	1857
196	453	1850
197	455	1843
198	456	1838
199	457	1831
200	458	1823
201	459	1815
202	460	1807
